epoch,lambda,noise,shots,acc,loss,n_samples
7,3,0.05,64,79.35185185185185,1.3992718350076998,5400
7,3,0.05,256,82.66666666666667,1.3851503403856908,5400
7,3,0.05,1024,83.44444444444444,1.3827620462832373,5400
8,3,0.05,1,30.518518518518515,2.2761393994426866,5400
8,3,0.05,4,45.18518518518518,1.5532368280115083,5400
8,3,0.05,16,69.2037037037037,1.3640208831802707,5400
8,3,0.05,64,81.07407407407408,1.3176391901521483,5400
8,3,0.05,256,83.2962962962963,1.3075307945133914,5400
8,3,0.05,1024,84.29629629629629,1.3052964064219228,5400
9,3,0.05,1,30.333333333333336,2.3407826109429126,5400
9,3,0.05,4,45.7037037037037,1.5181917944483407,5400
9,3,0.05,16,68.88888888888889,1.3179194719038796,5400
9,3,0.05,64,81.75925925925925,1.2619476835389998,5400
9,3,0.05,256,84.01851851851852,1.248646252754212,5400
9,3,0.05,1024,85.46296296296296,1.2450113368333484,5400
10,3,0.05,1,30.48148148148148,2.462927252247993,5400
10,3,0.05,4,45.907407407407405,1.5001118211633457,5400
10,3,0.05,16,69.61111111111111,1.2624966868306327,5400
10,3,0.05,64,81.51851851851852,1.197747920041165,5400
10,3,0.05,256,83.83333333333334,1.1852567114056973,5400
10,3,0.05,1024,84.68518518518519,1.1812723729292705,5400
11,3,0.05,1,30.407407407407405,2.5356364427973963,5400
11,3,0.05,4,45.72222222222222,1.4778463971996887,5400
11,3,0.05,16,71.44444444444444,1.2016697910457925,5400
11,3,0.05,64,81.83333333333334,1.1427577907234134,5400
11,3,0.05,256,84.98148148148148,1.1246880535001973,5400
11,3,0.05,1024,86.55555555555556,1.1215009136447525,5400
12,3,0.05,1,31.962962962962965,2.5961054278602886,5400
12,3,0.05,4,44.648148148148145,1.5090265422156224,5400
12,3,0.05,16,69.14814814814815,1.2046478735873911,5400
12,3,0.05,64,81.14814814814815,1.1297418461866162,5400
12,3,0.05,256,83.5,1.1137756386743767,5400
12,3,0.05,1024,85.0,1.1074738487339555,5400
13,3,0.05,1,32.2962962962963,2.62723521464013,5400
13,3,0.05,4,46.38888888888889,1.4434221009706918,5400
13,3,0.05,16,72.31481481481481,1.1125799936976961,5400
13,3,0.05,64,84.42592592592592,1.0346768308718648,5400
13,3,0.05,256,86.61111111111111,1.01724391811259,5400
13,3,0.05,1024,87.46296296296296,1.0134678163098347,5400
14,3,0.05,1,32.907407407407405,2.7123711213503827,5400
14,3,0.05,4,47.0,1.4259601796867285,5400
14,3,0.05,16,71.9074074074074,1.086121331889038,5400
14,3,0.05,64,83.87037037037037,0.990853139055502,5400
14,3,0.05,256,86.42592592592592,0.9702117387072434,5400
14,3,0.05,1024,87.68518518518519,0.9659081230941589,5400
15,3,0.05,1,31.333333333333336,2.8830721392677687,5400
15,3,0.05,4,45.666666666666664,1.456674123487044,5400
15,3,0.05,16,72.25925925925925,1.0520136303356495,5400
15,3,0.05,64,83.77777777777777,0.9624480594667402,5400
15,3,0.05,256,86.20370370370371,0.9399880819178282,5400
15,3,0.05,1024,87.24074074074075,0.933180333635222,5400
16,3,0.05,1,31.722222222222225,2.9673673402449956,5400
16,3,0.05,4,47.94444444444444,1.4262627534526393,5400
16,3,0.05,16,72.88888888888889,1.0224921731570915,5400
16,3,0.05,64,84.12962962962963,0.9211641299594807,5400
16,3,0.05,256,87.33333333333333,0.8986019742011142,5400
16,3,0.05,1024,87.6111111111111,0.8908434095449893,5400
17,3,0.05,1,31.62962962962963,3.0577088315578953,5400
17,3,0.05,4,47.38888888888889,1.4303965550477233,5400
17,3,0.05,16,71.46296296296296,1.0042597110062255,5400
17,3,0.05,64,82.5925925925926,0.8997780670708951,5400
17,3,0.05,256,86.27777777777777,0.8706310004077694,5400
17,3,0.05,1024,86.98148148148148,0.8655979135606623,5400
18,3,0.05,1,32.12962962962963,3.12118558780856,5400
18,3,0.05,4,48.51851851851852,1.4055944916200642,5400
18,3,0.05,16,73.25925925925925,0.9729708160293027,5400
18,3,0.05,64,84.22222222222221,0.8565790336452586,5400
18,3,0.05,256,87.24074074074075,0.828826729956966,5400
18,3,0.05,1024,87.96296296296296,0.8207326452325149,5400
19,3,0.05,1,30.25925925925926,3.3989924524845305,5400
19,3,0.05,4,45.31481481481482,1.5095618366684318,5400
19,3,0.05,16,69.87037037037037,1.0172896324677503,5400
19,3,0.05,64,81.66666666666667,0.8880786433869391,5400
19,3,0.05,256,84.48148148148148,0.8590737425050432,5400
19,3,0.05,1024,85.05555555555556,0.8489772768645448,5400
20,3,0.05,1,30.777777777777775,3.467407417081098,5400
20,3,0.05,4,46.24074074074074,1.4900201906634498,5400
20,3,0.05,16,72.03703703703704,0.9608991799438883,5400
20,3,0.05,64,83.74074074074073,0.8285618036269187,5400
20,3,0.05,256,86.57407407407408,0.798724283599096,5400
20,3,0.05,1024,86.92592592592592,0.7881160508720344,5400
21,3,0.05,1,30.87037037037037,3.5375407486984463,5400
21,3,0.05,4,49.01851851851852,1.4424337641095992,5400
21,3,0.05,16,72.62962962962963,0.9076842240234418,5400
21,3,0.05,64,84.68518518518519,0.7860084335087019,5400
21,3,0.05,256,87.31481481481481,0.7478288069730148,5400
21,3,0.05,1024,87.6111111111111,0.7401237504126015,5400
22,3,0.05,1,30.925925925925924,3.6963867662081786,5400
22,3,0.05,4,46.59259259259259,1.5044302870237742,5400
22,3,0.05,16,72.61111111111111,0.8935131467870975,5400
22,3,0.05,64,85.51851851851852,0.7467416446404693,5400
22,3,0.05,256,87.83333333333333,0.7110678567891362,5400
22,3,0.05,1024,88.22222222222223,0.7023652577438136,5400
23,3,0.05,1,31.51851851851852,3.7392488767984524,5400
23,3,0.05,4,47.425925925925924,1.5001710088050244,5400
23,3,0.05,16,72.61111111111111,0.8858453801751178,5400
23,3,0.05,64,84.55555555555556,0.7290410392282147,5400
23,3,0.05,256,87.33333333333333,0.6893480374188677,5400
23,3,0.05,1024,88.20370370370371,0.6812371367392278,5400
24,3,0.05,1,30.925925925925924,3.856124210476232,5400
24,3,0.05,4,48.833333333333336,1.4911784746704122,5400
24,3,0.05,16,72.18518518518519,0.8611548301191455,5400
24,3,0.05,64,85.38888888888889,0.7032717830085868,5400
24,3,0.05,256,87.31481481481481,0.6649877814455233,5400
24,3,0.05,1024,88.12962962962962,0.6563456129128937,5400
25,3,0.05,1,29.777777777777775,4.100393627660192,5400
25,3,0.05,4,46.33333333333333,1.6224072879101212,5400
25,3,0.05,16,68.64814814814815,0.9774045674200335,5400
25,3,0.05,64,81.68518518518518,0.7935854374211578,5400
25,3,0.05,256,85.22222222222223,0.7504195575869819,5400
25,3,0.05,1024,86.79629629629629,0.739630799438673,5400
26,3,0.05,1,30.72222222222222,4.103086126085881,5400
26,3,0.05,4,48.907407407407405,1.5303616784475338,5400
26,3,0.05,16,73.25925925925925,0.8441338497206269,5400
26,3,0.05,64,87.62962962962963,0.6692999866367316,5400
26,3,0.05,256,92.16666666666666,0.6278434559443936,5400
26,3,0.05,1024,94.9074074074074,0.6152196381502039,5400
27,3,0.05,1,30.907407407407405,4.136537847005963,5400
27,3,0.05,4,49.72222222222222,1.4905430206699215,5400
27,3,0.05,16,74.6111111111111,0.8098845284522203,5400
27,3,0.05,64,90.07407407407408,0.6159954576466989,5400
27,3,0.05,256,95.0,0.5738792526237433,5400
27,3,0.05,1024,96.64814814814815,0.5636032141483905,5400
28,3,0.05,1,30.592592592592595,4.324995891367494,5400
28,3,0.05,4,49.0,1.5198874622065728,5400
28,3,0.05,16,75.92592592592592,0.7875956211370926,5400
28,3,0.05,64,91.18518518518518,0.6046276779017211,5400
28,3,0.05,256,95.87037037037037,0.5551831867868668,5400
28,3,0.05,1024,96.88888888888889,0.5454003721095033,5400
29,3,0.05,1,30.537037037037035,4.496132188598379,5400
29,3,0.05,4,48.074074074074076,1.5888901096254793,5400
29,3,0.05,16,75.33333333333333,0.7858837707170042,5400
29,3,0.05,64,91.66666666666666,0.5931113259204563,5400
29,3,0.05,256,96.0925925925926,0.541796950656738,5400
29,3,0.05,1024,96.5,0.5301697646849173,5400
30,3,0.05,1,31.61111111111111,4.489716269758432,5400
30,3,0.05,4,49.25925925925926,1.5933337750689571,5400
30,3,0.05,16,76.38888888888889,0.7754256541165998,5400
30,3,0.05,64,93.11111111111111,0.5648440879877888,5400
30,3,0.05,256,96.53703703703704,0.5172767626662103,5400
30,3,0.05,1024,97.0925925925926,0.50499287553826,5400
31,3,0.05,1,31.666666666666664,4.5776757734387825,5400
31,3,0.05,4,49.574074074074076,1.5746182543823215,5400
31,3,0.05,16,77.68518518518519,0.745048228978535,5400
31,3,0.05,64,94.0,0.5343238935909722,5400
31,3,0.05,256,97.29629629629629,0.48367065734916703,5400
31,3,0.05,1024,97.29629629629629,0.47121296736650714,5400
32,3,0.05,1,30.37037037037037,4.884104935435755,5400
32,3,0.05,4,49.129629629629626,1.6111219587954562,5400
32,3,0.05,16,78.53703703703704,0.7274664584678674,5400
32,3,0.05,64,93.38888888888889,0.5224655524913989,5400
32,3,0.05,256,97.03703703703704,0.4725804835373074,5400
32,3,0.05,1024,97.16666666666667,0.46139766661742115,5400
33,3,0.05,1,30.555555555555557,4.967121782245187,5400
33,3,0.05,4,48.18518518518518,1.6821182857251828,5400
33,3,0.05,16,76.44444444444444,0.7667003966341978,5400
33,3,0.05,64,93.11111111111111,0.53704663566781,5400
33,3,0.05,256,95.68518518518519,0.48398280244299474,5400
33,3,0.05,1024,95.94444444444444,0.4693697989577668,5400
34,3,0.05,1,30.62962962962963,5.02360366587358,5400
34,3,0.05,4,46.46296296296296,1.749250064534236,5400
34,3,0.05,16,75.96296296296296,0.7855404263716907,5400
34,3,0.05,64,92.0925925925926,0.5513092215975922,5400
34,3,0.05,256,95.2962962962963,0.4946449297114879,5400
34,3,0.05,1024,95.4074074074074,0.4820072354615492,5400
35,3,0.05,1,29.40740740740741,5.240336845652919,5400
35,3,0.05,4,49.44444444444444,1.6592846761040232,5400
35,3,0.05,16,79.07407407407408,0.7040963470279401,5400
35,3,0.05,64,94.0925925925926,0.47908344848688605,5400
35,3,0.05,256,96.55555555555554,0.42537058403994493,5400
35,3,0.05,1024,96.55555555555554,0.41513746788656564,5400
36,3,0.05,1,30.75925925925926,5.254732089138198,5400
36,3,0.05,4,50.20370370370371,1.6670833428138894,5400
36,3,0.05,16,78.96296296296296,0.6896045687642927,5400
36,3,0.05,64,94.77777777777779,0.45147704071628814,5400
36,3,0.05,256,96.85185185185186,0.39488322737473913,5400
36,3,0.05,1024,97.0,0.3816065081072803,5400
37,3,0.05,1,30.166666666666668,5.416898184962755,5400
37,3,0.05,4,49.22222222222222,1.7521139224225617,5400
37,3,0.05,16,79.16666666666666,0.7097198601284905,5400
37,3,0.05,64,94.51851851851852,0.4504602020376743,5400
37,3,0.05,256,96.31481481481482,0.3961389762601485,5400
37,3,0.05,1024,96.35185185185186,0.3826798497238393,5400
38,3,0.05,1,30.666666666666664,5.481698483389177,5400
38,3,0.05,4,48.74074074074074,1.7478182712094201,5400
