epoch,variance_loss,variance_acc
1,0.01598170856118747,231.38415209190669
2,0.034874269904094285,98.66261574074079
3,0.060138725987242195,420.4717721193416
4,0.08336865408234388,422.8839806241428
5,0.10372111229730402,187.6285150891631
6,0.12145603884421989,225.8971836419752
7,0.13337681409642135,188.4265046296296
8,0.14392056118877003,83.37712191358031
9,0.14836714626836636,91.57430984224962
10,0.1518877890815258,79.47108624828535
11,0.15501300598307788,29.644718792866925
12,0.1448618756038549,18.747320816186576
13,0.15878229451998652,19.425411522633723
14,0.15797723485419068,20.126264574759944
15,0.15462712672323836,18.22453703703701
16,0.15099346225790428,18.220421810699623
17,0.14545599920820346,15.068672839506199
18,0.1444474403196129,18.18113425925923
19,0.12752601389924026,15.102944958847795
20,0.1306008245375408,13.077053326474621
21,0.13338622386664883,1.668445644718796
22,0.1298534926992398,0.31487911522633516
23,0.1261252678201399,0.27040466392318313
24,0.12303711275911841,0.4337277091906688
25,0.10617028266082387,0.7442558299039836
26,0.11411620738755043,0.5222050754458092
27,0.11673348785318305,7.053755144032915
28,0.11345229677850172,15.930298353909484
29,0.11348868594211212,3.0509259259259096
30,0.11210390604793619,0.16330161179698
31,0.112662339150173,0.02938528806584529
32,0.11039811426356938,0.07465277777777815
33,0.10598091403593662,0.08393347050754771
34,0.09458701897937094,0.016696673525375842
35,0.10288635762384243,0.026641803840877686
36,0.1033839618958906,0.2003600823045278
37,0.10178414210701218,0.5028077846364813
38,0.0975898139551776,0.05613425925926353
39,0.09344430148876746,0.12163494513032241
40,0.09339789200467512,0.12577160493828027
41,0.09320757561167317,0.11511917009602848
42,0.07767033288626021,0.09831532921810818
43,0.0863591828068561,0.3777434842249735
44,0.0827748209733497,0.09780092592592123
45,0.07566023796280599,0.11385459533607276
46,0.07540562321497261,0.05512688614540576
47,0.07636286381365198,0.2257373113854561
48,0.07300392254113451,0.21405606995885126
49,0.06698605701141513,0.21201989026063017
50,0.06678830025232448,0.10928926611796523
