arm,lams,var_E,resid_q,depth,var_hat,resid_hat,depth_hat,proxy_raw,epoch,proxy_hat,w_var,w_depth,reward
arm1,"1,3",0.0011974811346462464,9.638621880299688e-32,3.0,0.9590115110411335,4.051349904445208e-27,0.11764705882352941,0.26080277553071396,1,0.21344498492023703,1.3201674773803556,0.7574796509790768,-1.26694695984046
arm2,"1,3,5",0.0012497032189062274,4.1192974556843177e-32,5.0,1.0008339485617683,1.73144206305862e-27,0.47058823529411764,0.26080277553071396,1,0.21344498492023703,1.3201674773803556,0.7574796509790768,-1.3248330392716645
arm3,"1,3,5,7",0.001239290020957239,2.643459617064655e-05,7.0,0.9924944629440849,1.1111111111111112,1.0588235294117647,0.26080277553071396,1,0.21344498492023703,1.3201674773803556,0.7574796509790768,-1.5554403785897548
arm1,"1,3",0.0018978460059164985,1.438656898401767e-31,3.0,0.9384138402261223,3.902071003490693e-27,0.11764705882352941,0.4139433360522629,2,0.3387775645474397,1.5081663468211595,0.6630568319653545,-1.4160642400813819
arm2,"1,3,5",0.0020300223932535593,4.104233748154613e-32,5.0,1.0037701182600125,1.1131918609651431e-27,0.47058823529411764,0.4139433360522629,2,0.3387775645474397,1.5081663468211595,0.6630568319653545,-1.516972579748989
arm3,"1,3,5,7",0.001953775607721567,4.096562219039245e-05,7.0,0.9660689356598882,1.1111111111111114,1.0588235294117647,0.4139433360522629,2,0.3387775645474397,1.5081663468211595,0.6630568319653545,-1.8404327753856227
arm1,"1,3",0.00244460968035249,2.0164695757119945e-31,3.0,0.916726333981257,7.717966343475895e-27,0.11764705882352941,0.5577860794111394,3,0.45650066824004276,1.684751002360064,0.5935595222078286,-1.5451539153850342
arm2,"1,3,5",0.0026760072129474967,5.436260687939891e-32,5.0,1.0035001913593975,2.0807096486475206e-27,0.47058823529411764,0.5577860794111394,3,0.45650066824004276,1.684751002360064,0.5935595222078286,-1.693441174542239
arm3,"1,3,5,7",0.002582668542909416,2.9029949744274924e-05,7.0,0.9684982777654213,1.1111111111111112,1.0588235294117647,0.5577860794111394,3,0.45650066824004276,1.684751002360064,0.5935595222078286,-2.1451861568426485
arm1,"1,3",0.0042851197228118325,2.3141708818569236e-31,3.0,0.8943949921567009,6.142621371124099e-27,0.11764705882352941,0.6848580559964288,4,0.5604983196102736,1.8407474794154104,0.5432575685599106,-1.64699445396546
arm2,"1,3,5",0.0048147879560067885,7.453215009228385e-32,5.0,1.0049479395462781,1.9783447349632552e-27,0.47058823529411764,0.6848580559964288,4,0.5604983196102736,1.8407474794154104,0.5432575685599106,-1.8524118928685094
arm3,"1,3,5,7",0.004577728116417236,4.185999469100402e-05,7.0,0.9554685440834977,1.1111111111111112,1.0588235294117647,0.6848580559964288,4,0.5604983196102736,1.8407474794154104,0.5432575685599106,-2.387304363821715
arm1,"1,3",0.008896821901093848,2.6161415145679618e-31,3.0,0.8896819453698454,6.956680402259975e-27,0.11764705882352941,0.7752300165100822,5,0.6344601158748896,1.9516901738123345,0.5123764075968317,-1.7369863063702127
arm2,"1,3,5",0.010052913343094405,7.530596522689922e-32,5.0,1.0052910577673888,2.0024892749494715e-27,0.47058823529411764,0.7752300165100822,5,0.6344601158748896,1.9516901738123345,0.5123764075968317,-1.9644278623605937
arm3,"1,3,5,7",0.00952380742080563,4.178464061869495e-05,7.0,0.9523804800934997,1.1111111111111112,1.0588235294117647,0.7752300165100822,5,0.6344601158748896,1.9516901738123345,0.5123764075968317,-2.56913247099738
arm1,"1,3",0.011989826990265531,2.968421283990335e-31,3.0,0.8916821877217719,8.570722803680155e-27,0.11764705882352941,0.8381874644430476,6,0.685985455271003,2.0289781829065046,0.49285892200551085,-1.8097835389997063
arm2,"1,3,5",0.013516837373623445,8.872720044892235e-32,5.0,1.0052457913010335,2.5618204676528477e-27,0.47058823529411764,0.8381874644430476,6,0.685985455271003,2.0289781829065046,0.49285892200551085,-2.0419411151119373
arm3,"1,3,5,7",0.012811472491465938,3.848270381214697e-05,7.0,0.9527878782906986,1.1111111111111112,1.0588235294117647,0.8381874644430476,6,0.685985455271003,2.0289781829065046,0.49285892200551085,-2.7006103856348305
arm1,"1,3",0.01487064730318049,3.089174082864951e-31,3.0,0.8979465379224901,6.909217631942444e-27,0.11764705882352941,0.9170052535457373,7,0.750491140734802,2.125736711102203,0.47042514474028907,-1.9093513616157174
arm2,"1,3,5",0.016649833893338867,9.845285708426488e-32,5.0,1.0053806264580405,2.201987320348272e-27,0.47058823529411764,0.9170052535457373,7,0.750491140734802,2.125736711102203,0.47042514474028907,-2.1393882716798007
arm3,"1,3,5,7",0.01575876304503646,4.967878898124593e-05,7.0,0.9515743618776362,1.1111111111111112,1.0588235294117647,0.9170052535457373,7,0.750491140734802,2.125736711102203,0.47042514474028907,-2.8616565717686147
arm1,"1,3",0.018533357993406586,3.145679149952736e-31,3.0,0.9018121520203536,9.893257707783124e-27,0.11764705882352941,0.9555185047541889,8,0.7820109752407395,2.173016462861109,0.46018979473507843,-1.9601940525069452
arm2,"1,3,5",0.020631045358986435,9.779055473750599e-32,5.0,1.0038832369307333,3.0755430331149793e-27,0.47058823529411764,0.9555185047541889,8,0.7820109752407395,2.173016462861109,0.46018979473507843,-2.1836203996748305
arm3,"1,3,5,7",0.019832992016621694,3.532910148245034e-05,7.0,0.9650508676234,1.1111111111111114,1.0588235294117647,0.9555185047541889,8,0.7820109752407395,2.173016462861109,0.46018979473507843,-2.9708451042714734
arm1,"1,3",0.022136381033673914,3.1467602880837035e-31,3.0,0.9106901389997537,9.877221451359707e-27,0.11764705882352941,0.9850346288291892,9,0.8061674231361736,2.2092511347042603,0.45264206693906,-2.012475743027938
arm2,"1,3,5",0.02440000830225474,9.765277567779753e-32,5.0,1.0038157058542274,3.0651781591439184e-27,0.47058823529411764,0.9850346288291892,9,0.8061674231361736,2.2092511347042603,0.45264206693906,-2.219811067507417
arm3,"1,3,5,7",0.023472514799422146,3.539862234851165e-05,7.0,0.9656586473119533,1.1111111111111112,1.0588235294117647,0.9850346288291892,9,0.8061674231361736,2.2092511347042603,0.45264206693906,-3.0339167242820952
arm1,"1,3",0.027382253644611033,3.208958243461196e-31,3.0,0.9202123602891,1.0321696898080252e-26,0.11764705882352941,1.0257500542717894,10,0.8394895507551466,2.25923432613272,0.44262783564897656,-2.07949609032692
