epoch,best_arm,select_by,best_loss_zne,best_acc_zne,best_mtp_zne,loss_noiseless,acc_noiseless,mtp_noiseless,mse_noiseless_best,lams_of_best
1,arm2,loss,1.9176012259294644,51.87037037037037,15.134060495560583,1.9061392305451765,51.92592592592593,15.312115475367245,0.00013137733818943543,"1,3,5"
2,arm2,loss,1.6657548695675188,55.50000000000001,19.531912714131295,1.6523057338841822,55.648148148148145,19.806359806154703,0.00018087925062879812,"1,3,5"
3,arm2,loss,1.4120455349529428,80.0925925925926,25.032580526077236,1.396246342756026,80.07407407407408,25.448842440175234,0.00024961447407511423,"1,3,5"
4,arm2,loss,1.2214794325376646,83.5,30.6990913406232,1.2038422152570005,83.5,31.285481295044633,0.0003110714334053539,"1,3,5"
5,arm2,loss,1.057112912302781,83.62962962962963,36.60407469675157,1.0391083968686974,83.61111111111111,37.32508331110902,0.0003241625760161526,"1,3,5"
6,arm2,loss,0.9320356056654386,85.16666666666667,41.454275434032255,0.9136722010723656,85.16666666666667,42.279386079862874,0.0003372146282488969,"1,3,5"
7,arm2,loss,0.8273560275457129,86.12962962962963,46.31718530548818,0.8089843159480494,86.11111111111111,47.236817429176405,0.0003375197870277231,"1,3,5"
8,arm2,loss,0.7380551646783348,86.81481481481481,50.72213599782683,0.7197494705833056,86.85185185185185,51.72338427455352,0.00033509843630078455,"1,3,5"
9,arm2,loss,0.682386881863218,87.16666666666667,54.03873639983555,0.6650044222691512,87.12962962962963,55.05236791030313,0.0003021499015393654,"1,3,5"
10,arm2,loss,0.6249686094124999,86.83333333333333,57.82713609705282,0.6086218551149881,86.83333333333333,58.85954176748696,0.00026721637606321906,"1,3,5"
11,arm2,loss,0.5722851103294925,87.31481481481481,60.72629553171335,0.5568494606144652,87.35185185185185,61.735061806019274,0.0002382592821250227,"1,3,5"
12,arm3,loss,0.5857657734753776,86.14814814814815,61.36638507770456,0.5761457120604278,86.05555555555556,62.66117668696343,9.254558162740721e-05,"1,3,5,7"
13,arm2,loss,0.4809308771977782,87.92592592592592,66.44638456134491,0.46676723634253625,87.94444444444444,67.45543727802965,0.00020060872227627935,"1,3,5"
14,arm2,loss,0.4472004226504679,88.1111111111111,68.55553204948099,0.43428275328618937,88.1111111111111,69.50712651139565,0.00016686618180481973,"1,3,5"
15,arm2,loss,0.43303456695168985,87.70370370370371,70.14725208233533,0.42061341493209387,87.66666666666667,71.07843968333756,0.00015428501749391335,"1,3,5"
16,arm2,loss,0.41284982537565645,87.83333333333333,72.09251203781135,0.40184713646345616,87.85185185185185,72.97490590039956,0.00012105916329865538,"1,3,5"
17,arm3,loss,0.4049129968310784,86.77777777777777,72.62405455113907,0.39841192135355297,86.68518518518519,73.63502462098265,4.226398236448251e-05,"1,3,5,7"
18,arm3,loss,0.374703405923209,88.25925925925927,74.87742292051477,0.36872767723357547,88.16666666666667,75.88838686304479,3.570933337210927e-05,"1,3,5,7"
19,arm3,loss,0.4356136715395353,85.01851851851852,73.0375130628838,0.44457481351730066,84.79629629629629,73.72152654308238,8.030206554566872e-05,"1,3,5,7"
20,arm3,loss,0.3795788808345587,87.09259259259258,76.03146653503075,0.3839206333169095,86.87037037037038,76.79263632661807,1.8850814617999356e-05,"1,3,5,7"
21,arm3,loss,0.34275253503666037,87.68518518518519,77.89799373492203,0.34400928094356664,87.66666666666667,78.61735920857542,1.5794102745256778e-06,"1,3,5,7"
22,arm3,loss,0.3195087502731393,88.20370370370371,79.51169562396454,0.3227109877813504,88.0925925925926,80.15926326443264,1.0254325058993913e-05,"1,3,5,7"
23,arm3,loss,0.3141978763471385,87.74074074074075,80.00750261948866,0.31582791209312355,87.74074074074075,80.61530436782414,2.657016533188959e-06,"1,3,5,7"
24,arm3,loss,0.30245454298237984,88.05555555555556,81.10615399450094,0.30696574501356616,88.0,81.61731590107149,2.035094376617961e-05,"1,3,5,7"
25,arm3,loss,0.3996337963727564,85.35185185185186,77.93865231608757,0.42901464759543817,84.75925925925925,78.0940718126187,0.0008632344185693596,"1,3,5,7"
26,arm3,loss,0.2702043184326101,95.94444444444444,83.77095163107845,0.2769142069780428,95.72222222222221,84.20393836401645,4.5022604292128906e-05,"1,3,5,7"
27,arm3,loss,0.21884471092657662,96.9074074074074,86.1261096533224,0.22164719012377082,96.85185185185186,86.54498882066225,7.85388965070626e-06,"1,3,5,7"
28,arm3,loss,0.21092277015136002,97.0,87.89074052106926,0.21318743665493908,96.96296296296296,88.46970406820246,5.128714372433031e-06,"1,3,5,7"
29,arm3,loss,0.1973246709038401,96.72222222222221,89.06979172231223,0.20122848237008556,96.5,89.66108500644626,1.5239743963989574e-05,"1,3,5,7"
30,arm3,loss,0.18302034946317178,97.07407407407408,90.59084307039335,0.18702677150709274,97.01851851851852,91.20092429159023,1.60514175940158e-05,"1,3,5,7"
31,arm3,loss,0.1643233420053468,97.31481481481481,91.96292915078631,0.1663925820483803,97.24074074074073,92.54615172322225,4.281754355693368e-06,"1,3,5,7"
32,arm3,loss,0.16773846315076932,97.0925925925926,92.26608612789153,0.17224156845830402,97.05555555555556,92.76047215141983,2.027795741074718e-05,"1,3,5,7"
33,arm3,loss,0.19482426950952433,96.16666666666667,92.16487436941465,0.2070057048005072,96.07407407407408,92.58045116615402,0.00014838736574840285,"1,3,5,7"
34,arm3,loss,0.23787996022729915,95.46296296296296,91.44778170356128,0.26101250163594497,95.24074074074073,91.76241973853256,0.0005351144720227134,"1,3,5,7"
